,n_vac,uco,ciu,pt,asig,ta,empleo,efun,cursos,t_max,t_min,fecha_cob,csce,obs,cantidad_vacantes
0,05113,CUARTEL GENERAL DEL MANDO DE TROPAS DE MONTAÑA,50083231,5JA77/005,PA,C,CAP,"['TRA.', 'ART.', 'ING.', nan]",IB:E,6,,,"489,98","656,959",
1,05114,REGIMIENTO DE OPERACIONES DE INFORMACION N.o 1,50069718,5JA77/013,PA,C,CAP,"['TRA.', 'ART.', 'ING.', nan]",IN:E,6,,,"374,87","215,959",
2,05115,REGIMIENTO DE OPERACIONES DE INFORMACION N.o 1,50069718,5JA77/011,PA,C,CAP,"['TRA.', 'ART.', 'ING.', nan]",IN:E,6,,,"450,47","D73,959",
3,05116,REGIMIENTO DE OPERACIONES DE INFORMACION N.o 1,50069718,5JA77/012,PA,C,CAP,"['TRA.', 'ART.', 'ING.', nan]",IN:E,6,,,"374,87","215,959",
4,05117,REGIMIENTO DE OPERACIONES DE INFORMACION N.o 1,50069718,5JA77/009,PA,C,CAP,"['TRA.', 'ART.', 'ING.', nan]",IN:E,6,,,"450,47","D73,959",
5,05118,REGIMIENTO DE OPERACIONES DE INFORMACION N.o 1,50069718,5JA77/010,PA,C,CAP,"['TRA.', 'ART.', 'ING.', nan]",IN:E,6,,,"450,47","D73,959",
6,05119,REGIMIENTO DE OPERACIONES DE INFORMACION N.o 1,50069718,5JA77/008,PA,C,CAP,"['TRA.', 'ART.', 'ING.', nan]",IN:E,6,,,"450,47","D73,959",
7,05120,BATALLON DE ZAPADORES XI,50013330,5JA84/002,PA,C,CAP,"['TRA.', 'ART.', 'ING.', nan]",FP:E,6,,,"450,47",959,
8,05121,BATALLON DE ZAPADORES I,51081222,5JA84/003,PA,C,CAP,"['TRA.', 'ART.', 'ING.', nan]",FP:E,6,,,"450,47",959,
9,05122,BATALLON DE CG. DE LA BRIGADA «GUZMAN EL BUENO» X,50061521,5JA77/001,PA,C,CAP,"['TRA.', 'ART.', 'ING.', nan]",FP:E,6,,,"450,47","656,959",
10,05123,GRUPO LOGISTICO X,50086388,5JA77/001,PA,C,CAP,"['TRA.', 'ART.', 'ING.', nan]",FP:E,6,,,"450,47",959,
11,05124,GRUPO LOGISTICO I,51028762,5JA77/005,PA,C,CAP,"['TRA.', 'ART.', 'ING.', nan]",FP:E,6,,,"450,47",959,
12,05125,BATALLON DE CG. DE LA BRIGADA «CANARIAS» XVI,50056348,5JA77/003,PA,C,CAP,"['TRA.', 'ART.', 'ING.', nan]",FP:E,6,,,"450,47",959,
13,05126,BATALLON DE POLICIA MILITAR 1,50030003,5JA9U/002,PA,C,CAP,"['TRA.', 'ART.', 'ING.', nan]",PN:E,6,,,"450,47","567,959",
14,05127,CUARTEL GENERAL TERRESTRE DE ALTA DISPONIBILIDAD (BETERA),50030002,5JA77/002,PA,C,CAP,"['TRA.', 'ART.', 'ING.', nan]",IN:E,6,,,"338,86","215,656,960",
15,05128,CUARTEL GENERAL TERRESTRE DE ALTA DISPONIBILIDAD (BETERA),50030002,5JA77/004,PA,C,CAP,"['TRA.', 'ART.', 'ING.', nan]",IN:E,6,,,"374,87","D74,656,960",
16,05129,REGIMIENTO DE PONTONEROS Y ESPECIALIDADES DE INGENIEROS 12,50078704,5JA84/019,PA,C,CAP,"['TRA.', 'ART.', 'ING.', nan]",ZP:E,6,,,"450,47",959,
17,05130,REGIMIENTO DE ARTILLERIA DE COSTA 4 (SAN FERNANDO),50012789,5JA80/002,PA,C,CAP,"['TRA.', 'ART.', 'ING.', nan]",FP:E,6,,,"450,47",959,
18,05131,REGIMIENTO DE TRANSMISIONES 22 (BETERA),50087639,5JA86/001,PA,C,CAP,"['TRA.', 'ART.', 'ING.', nan]",IN:E,6,,,"338,86","215,960",
19,04500,BATALLON DE HELICOPTEROS DE MANIOBRA IV,50091258,5SA8C/011,PA,C,SGT1 a SGTO,"['ARTC', 'I.LIG', 'TRA.', 'CAB.', 'ING.', nan]","HC:I,HR:I","['10', nan]",3.0,,"284,79","546,656,959",
20,04501,RGTO.DE.INF. «GALICIA» N.o 64 DE CAZADORES DE MONTAÑA,50037163,5SA85/013,PA,C,SGT1 a SGTO,"['ARTC', 'I.LIG', 'TRA.', 'CAB.', 'ING.', nan]",TM:E,"['10', nan]",3.0,,"291,07","697,959",
21,04502,RGTO. DE INF. «AMERICA» N.o 66 DE CAZADORES DE MONTAÑA,50038946,5SA84/001,PA,C,SGT1 a SGTO,"['ARTC', 'I.LIG', 'TRA.', 'CAB.', 'ING.', nan]",TM:E,"['10', nan]",3.0,,"291,07","696,959",
