,n_vac,uco,ciu,pt,asig,ta,empleo,efun,cursos,t_max,t_min,fecha_cob,csce,obs,cod_cm,ejercito,cuerpo_esc,nivel
0,02500,CUARTEL GENERAL DEL MANDO DE TROPAS DE MONTAÑA,50083231,5WA1E/001,LD,Z,SBMY,,"['TM:E', 'PA:E', nan]",,,"['17-05-2021', '25-04-2021', nan]","412,70","244,604,656,959",,,,
1,02501,"BCG DE LA BRIGADA «ALMOGÁVARES» VI, DE PARACAIDISTAS",50027882,5WA1E/001,LD,Z,SBMY,,"['TM:E', 'PA:E', nan]",,,"['17-05-2021', '25-04-2021', nan]","412,70","244,959",,,,
2,02502,BATALLON DE ZAPADORES VI,50056870,5WA1E/001,LD,Z,SBMY,,"['TM:E', 'PA:E', nan]",,,"['17-05-2021', '25-04-2021', nan]","412,70","244,609,959",,,,
3,02503,GRUPO DE ARTILLERIA DE CAMPAÑA VI,50091180,5WA1E/001,LD,Z,SBMY,,"['TM:E', 'PA:E', nan]",,,"['17-05-2021', '25-04-2021', nan]","412,70","244,607,959",,,,
4,02504,BATALLON DE CG. DE LA BRIGADA «GALICIA» VII,50027771,5WA1E/002,LD,Z,SBMY,,"['TM:E', 'PA:E', nan]",,,"['17-05-2021', '25-04-2021', nan]","374,87","244,959",,,,
5,02505,GRUPO DE ARTILLERIA DE CAMPAÑA VII,50030029,5WA1E/001,LD,Z,SBMY,,"['TM:E', 'PA:E', nan]",,,"['17-05-2021', '25-04-2021', nan]","374,87","244,607,959",,,,
6,02506,BATALLON DE ZAPADORES XI,50013330,5WA1E/001,LD,Z,SBMY,,"['TM:E', 'PA:E', nan]",,,"['17-05-2021', '25-04-2021', nan]","374,87","244,609,959",,,,
7,02507,GRUPO LOGISTICO XII,50045610,5WA1E/002,LD,Z,SBMY,,"['TM:E', 'PA:E', nan]",,,"['17-05-2021', '25-04-2021', nan]","374,87","244,959",,,,
8,02508,GRUPO LOGISTICO XI,50055530,5WA1E/002,LD,Z,SBMY,,"['TM:E', 'PA:E', nan]",,,"['17-05-2021', '25-04-2021', nan]","374,87","244,959",,,,
9,02509,GRUPO DE ARTILLERIA DE CAMPAÑA XII,50089452,5WA1E/002,LD,Z,SBMY,,"['TM:E', 'PA:E', nan]",,,"['17-05-2021', '25-04-2021', nan]","374,87","244,607,959",,,,
10,02510,BATALLON DE ZAPADORES XII,50092383,5WA1E/001,LD,Z,SBMY,,"['TM:E', 'PA:E', nan]",,,"['17-05-2021', '25-04-2021', nan]","374,87","244,609,959",,,,
11,02511,REGIMIENTO DE INFANTERIA «ARAPILES» N.o 62,51018912,5WA1E/001,LD,Z,SBMY,,"['TM:E', 'PA:E', nan]",,,"['17-05-2021', '25-04-2021', nan]","374,87","244,604,605,959",,,,
