,n_vac,uco,ciu,pt,asig,ta,empleo,efun,cursos,t_max,t_min,fecha_cob,csce,obs,cod_cm
0,2500,CUARTEL GENERAL DEL MANDO DE TROPAS DE MONTAÑA,50083231,5WA1E/001,LD,Z,SBMY,,"['TM:E', 'PA:E', nan]",,,"['17-05-2021', '25-04-2021', nan]","412,70","244,604,656,959",
1,2501,"BCG DE LA BRIGADA «ALMOGÁVARES» VI, DE PARACAIDISTAS",50027882,5WA1E/001,LD,Z,SBMY,,"['TM:E', 'PA:E', nan]",,,"['17-05-2021', '25-04-2021', nan]","412,70","244,959",
2,2502,BATALLON DE ZAPADORES VI,50056870,5WA1E/001,LD,Z,SBMY,,"['TM:E', 'PA:E', nan]",,,"['17-05-2021', '25-04-2021', nan]","412,70","244,609,959",
3,2503,GRUPO DE ARTILLERIA DE CAMPAÑA VI,50091180,5WA1E/001,LD,Z,SBMY,,"['TM:E', 'PA:E', nan]",,,"['17-05-2021', '25-04-2021', nan]","412,70","244,607,959",
4,2504,BATALLON DE CG. DE LA BRIGADA «GALICIA» VII,50027771,5WA1E/002,LD,Z,SBMY,,"['TM:E', 'PA:E', nan]",,,"['17-05-2021', '25-04-2021', nan]","374,87","244,959",
5,2505,GRUPO DE ARTILLERIA DE CAMPAÑA VII,50030029,5WA1E/001,LD,Z,SBMY,,"['TM:E', 'PA:E', nan]",,,"['17-05-2021', '25-04-2021', nan]","374,87","244,607,959",
6,2506,BATALLON DE ZAPADORES XI,50013330,5WA1E/001,LD,Z,SBMY,,"['TM:E', 'PA:E', nan]",,,"['17-05-2021', '25-04-2021', nan]","374,87","244,609,959",
7,2507,GRUPO LOGISTICO XII,50045610,5WA1E/002,LD,Z,SBMY,,"['TM:E', 'PA:E', nan]",,,"['17-05-2021', '25-04-2021', nan]","374,87","244,959",
8,2508,GRUPO LOGISTICO XI,50055530,5WA1E/002,LD,Z,SBMY,,"['TM:E', 'PA:E', nan]",,,"['17-05-2021', '25-04-2021', nan]","374,87","244,959",
9,2509,GRUPO DE ARTILLERIA DE CAMPAÑA XII,50089452,5WA1E/002,LD,Z,SBMY,,"['TM:E', 'PA:E', nan]",,,"['17-05-2021', '25-04-2021', nan]","374,87","244,607,959",
10,2510,BATALLON DE ZAPADORES XII,50092383,5WA1E/001,LD,Z,SBMY,,"['TM:E', 'PA:E', nan]",,,"['17-05-2021', '25-04-2021', nan]","374,87","244,609,959",
11,2511,REGIMIENTO DE INFANTERIA «ARAPILES» N.o 62,51018912,5WA1E/001,LD,Z,SBMY,,"['TM:E', 'PA:E', nan]",,,"['17-05-2021', '25-04-2021', nan]","374,87","244,604,605,959",
12,2512,REGIMIENTO ACORAZADO «PAVIA»4,51094394,5WA1E/001,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['24-04-2021', '30-05-2021', '13-04-2021', '26-06-2021', '29-05-2021', nan]","374,87","244,605,606,959",
13,2513,BATALLON DE ZAPADORES XVI,50039818,5WA1E/001,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['24-04-2021', '30-05-2021', '13-04-2021', '26-06-2021', '29-05-2021', nan]","374,87","244,609,959",
14,2514,AGRUPACION DE APOYO LOGISTICO N.o 81.,50038203,5WA1E/001,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['24-04-2021', '30-05-2021', '13-04-2021', '26-06-2021', '29-05-2021', nan]","374,87","244,959",
15,2515,AGRUPACION DE APOYO LOGISTICO N.o 11. (COLMENAR),50047849,5WA1E/001,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['24-04-2021', '30-05-2021', '13-04-2021', '26-06-2021', '29-05-2021', nan]","374,87","244,959",
16,2516,REGIMIENTO DE ARTILLERIA DE COSTA 4 (SAN FERNANDO),50012789,5WA1E/001,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['24-04-2021', '30-05-2021', '13-04-2021', '26-06-2021', '29-05-2021', nan]","374,87","244,607,608,959",
17,2517,CUARTEL GENERAL DEL MING.,50059971,5WA1E/001,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['24-04-2021', '30-05-2021', '13-04-2021', '26-06-2021', '29-05-2021', nan]","374,87","244,609,656,959",
18,2518,BATALLON DE HELICOPTEROS DE ATAQUE I,50065595,5WA1E/002,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['24-04-2021', '30-05-2021', '13-04-2021', '26-06-2021', '29-05-2021', nan]","374,87","244,959",
19,2519,REGIMIENTO DE INGENIEROS 1,50081154,5WA1E/002,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['24-04-2021', '30-05-2021', '13-04-2021', '26-06-2021', '29-05-2021', nan]","374,87","244,609,959",
20,2520,CUARTEL GENERAL DEL MANDO DE TRANSMISIONES,50085418,5WA1E/001,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['24-04-2021', '30-05-2021', '13-04-2021', '26-06-2021', '29-05-2021', nan]","374,87","244,610,656,959",
21,2521,CENTRO GEOGRAFICO DEL EJÉRCITO DE TIERRA,53000008,5WA1E/001,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['24-04-2021', '30-05-2021', '13-04-2021', '26-06-2021', '29-05-2021', nan]","338,86","244,959",
22,2522,ACADEMIA DE CABALLERIA,55107701,5SA06/002,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['24-04-2021', '30-05-2021', '13-04-2021', '26-06-2021', '29-05-2021', nan]","338,86","A65,244,959",
23,2523,ACADEMIA DE INGENIEROS,55101706,5SA09/002,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['24-04-2021', '30-05-2021', '13-04-2021', '26-06-2021', '29-05-2021', nan]","338,86","A65,244,959",
24,2524,USBA «GENERAL CAVALCANTI»,54130015,5WA1E/001,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['24-04-2021', '30-05-2021', '13-04-2021', '26-06-2021', '29-05-2021', nan]","338,86","244,959",
25,2525,USBA «OROEL»,54330035,5WA1E/001,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['24-04-2021', '30-05-2021', '13-04-2021', '26-06-2021', '29-05-2021', nan]","338,86","244,959",
26,2526,USBA «EL EMPECINADO»,54420121,5WA1E/001,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['24-04-2021', '30-05-2021', '13-04-2021', '26-06-2021', '29-05-2021', nan]","338,86","244,959",
27,2527,JEFATURA DE LA CUARTA SUBINSPECCION GENERAL DEL EJÉRCITO,54430001,5WA1E/001,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['24-04-2021', '30-05-2021', '13-04-2021', '26-06-2021', '29-05-2021', nan]","338,86","244,959",
28,2528,USBA «GENERAL MORILLO»,54430023,5WA1E/002,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['24-04-2021', '30-05-2021', '13-04-2021', '26-06-2021', '29-05-2021', nan]","338,86","244,959",
29,2529,JEFATURA DE LA QUINTA SUIGE (TENERIFE),54530001,5WA1E/002,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['24-04-2021', '30-05-2021', '13-04-2021', '26-06-2021', '29-05-2021', nan]","338,86","244,656,959",
